Tabela: 13, Linha: 27, Coluna: 3
Tabela: 13, Linha: 27, Coluna: 4
Tabela: 13, Linha: 27, Coluna: 5
Tabela: 13, Linha: 27, Coluna: 6
Tabela: 13, Linha: 29, Coluna: 0
Tabela: 13, Linha: 29, Coluna: 1
Tabela: 13, Linha: 29, Coluna: 2
Tabela: 13, Linha: 29, Coluna: 3
Tabela: 13, Linha: 29, Coluna: 4
Tabela: 13, Linha: 29, Coluna: 5
Tabela: 13, Linha: 29, Coluna: 6
Tabela: 13, Linha: 30, Coluna: 0
Tabela: 13, Linha: 30, Coluna: 1
Tabela: 13, Linha: 30, Coluna: 2
Tabela: 13, Linha: 30, Coluna: 3
Tabela: 13, Linha: 30, Coluna: 4
Tabela: 13, Linha: 30, Coluna: 5
Tabela: 13, Linha: 30, Coluna: 6
Tabela: 13, Linha: 31, Coluna: 0
Tabela: 13, Linha: 31, Coluna: 1
Tabela: 13, Linha: 31, Coluna: 2
Tabela: 13, Linha: 31, Coluna: 3
Tabela: 13, Linha: 31, Coluna: 4
Tabela: 13, Linha: 31, Coluna: 5
Tabela: 13, Linha: 31, Coluna: 6
Tabela: 13, Linha: 32, Coluna: 0
Tabela: 13, Linha: 32, Coluna: 1
Tabela: 13, Linha: 32, Coluna: 2
Tabela: 13, Linha: 32, Coluna: 3
Tabela: 13, Linha: 32, Coluna: 4
Tabela: 13, Linha: 32, Coluna: 5
Tabela: 13, Linha: 32, Coluna: 6
Tabela: 13, Linha: 34, Coluna: 0
Tabela: 13, Linha: 34, Coluna: 1
Tabela: 13, Linha: 34, Coluna: 2
Tabela: 13, Linha: 34, Coluna: 3
Tabela: 13, Linha: 34, Coluna: 4
Tabela: 13, Linha: 34, Coluna: 5
Tabela: 13, Linha: 34, Coluna: 6
Tabela: 13, Linha: 35, Coluna: 0
Tabela: 13, Linha: 35, Coluna: 1
Tabela: 13, Linha: 35, Coluna: 2
Tabela: 13, Linha: 35, Coluna: 3
Tabela: 13, Linha: 35, Coluna: 4
Tabela: 13, Linha: 35, Coluna: 5
Tabela: 13, Linha: 35, Coluna: 6
Tabela: 13, Linha: 36, Coluna: 0
Tabela: 13, Linha: 36, Coluna: 1
Tabela: 13, Linha: 36, Coluna: 2
Tabela: 13, Linha: 36, Coluna: 3
Tabela: 13, Linha: 36, Coluna: 4
Tabela: 13, Linha: 36, Coluna: 5
Tabela: 13, Linha: 36, Coluna: 6
Tabela: 13, Linha: 38, Coluna: 0
Tabela: 13, Linha: 38, Coluna: 1
Tabela: 13, Linha: 38, Coluna: 2
Tabela: 13, Linha: 38, Coluna: 3
Tabela: 13, Linha: 38, Coluna: 4
Tabela: 13, Linha: 38, Coluna: 5
Tabela: 13, Linha: 38, Coluna: 6
Tabela: 13, Linha: 39, Coluna: 0
Tabela: 13, Linha: 39, Coluna: 1
Tabela: 13, Linha: 39, Coluna: 2
Tabela: 13, Linha: 39, Coluna: 3
Tabela: 13, Linha: 39, Coluna: 4
Tabela: 13, Linha: 39, Coluna: 5
Tabela: 13, Linha: 39, Coluna: 6
Tabela: 13, Linha: 40, Coluna: 0
Tabela: 13, Linha: 40, Coluna: 1
Tabela: 13, Linha: 40, Coluna: 2
Tabela: 13, Linha: 40, Coluna: 3
Tabela: 13, Linha: 40, Coluna: 4
Tabela: 13, Linha: 40, Coluna: 5
Tabela: 13, Linha: 40, Coluna: 6
Tabela: 13, Linha: 41, Coluna: 0
Tabela: 13, Linha: 42, Coluna: 0
Tabela: 14, Linha: 1, Coluna: 0
Tabela: 14, Linha: 3, Coluna: 0
Tabela: 14, Linha: 4, Coluna: 0
Tabela: 14, Linha: 5, Coluna: 0
Tabela: 14, Linha: 6, Coluna: 0
Tabela: 14, Linha: 6, Coluna: 1
Tabela: 14, Linha: 6, Coluna: 2
Tabela: 14, Linha: 6, Coluna: 3
Tabela: 14, Linha: 6, Coluna: 4
Tabela: 14, Linha: 6, Coluna: 5
Tabela: 14, Linha: 6, Coluna: 6
Tabela: 14, Linha: 6, Coluna: 7
Tabela: 14, Linha: 6, Coluna: 8
Tabela: 14, Linha: 6, Coluna: 9
Tabela: 14, Linha: 8, Coluna: 0
Tabela: 14, Linha: 9, Coluna: 0
Tabela: 14, Linha: 10, Coluna: 0
Tabela: 14, Linha: 10, Coluna: 1
Tabela: 14, Linha: 10, Coluna: 2
Tabela: 14, Linha: 10, Coluna: 3
Tabela: 14, Linha: 10, Coluna: 4
Tabela: 14, Linha: 10, Coluna: 5
Tabela: 14, Linha: 10, Coluna: 6
Tabela: 14, Linha: 10, Coluna: 7
Tabela: 14, Linha: 10, Coluna: 8
Tabela: 14, Linha: 10, Coluna: 9
Tabela: 14, Linha: 13, Coluna: 0
Tabela: 14, Linha: 13, Coluna: 1
Tabela: 14, Linha: 13, Coluna: 2
Tabela: 14, Linha: 13, Coluna: 3
Tabela: 14, Linha: 13, Coluna: 4
Tabela: 14, Linha: 13, Coluna: 5
Tabela: 14, Linha: 13, Coluna: 6
Tabela: 14, Linha: 13, Coluna: 7
Tabela: 14, Linha: 13, Coluna: 8
Tabela: 14, Linha: 13, Coluna: 9
Tabela: 14, Linha: 14, Coluna: 0
Tabela: 14, Linha: 14, Coluna: 1
Tabela: 14, Linha: 14, Coluna: 2
Tabela: 14, Linha: 14, Coluna: 3
Tabela: 14, Linha: 14, Coluna: 4
Tabela: 14, Linha: 14, Coluna: 5
Tabela: 14, Linha: 14, Coluna: 6
Tabela: 14, Linha: 14, Coluna: 7
Tabela: 14, Linha: 14, Coluna: 8
Tabela: 14, Linha: 14, Coluna: 9
Tabela: 14, Linha: 15, Coluna: 0
Tabela: 14, Linha: 15, Coluna: 1
Tabela: 14, Linha: 15, Coluna: 2
Tabela: 14, Linha: 15, Coluna: 3
Tabela: 14, Linha: 15, Coluna: 4
Tabela: 14, Linha: 15, Coluna: 5
Tabela: 14, Linha: 15, Coluna: 6
Tabela: 14, Linha: 15, Coluna: 7
Tabela: 14, Linha: 15, Coluna: 8
Tabela: 14, Linha: 15, Coluna: 9
Tabela: 14, Linha: 17, Coluna: 0
Tabela: 14, Linha: 18, Coluna: 1
Tabela: 14, Linha: 18, Coluna: 2
Tabela: 14, Linha: 18, Coluna: 3
Tabela: 14, Linha: 18, Coluna: 4
Tabela: 14, Linha: 18, Coluna: 5
Tabela: 14, Linha: 19, Coluna: 0
Tabela: 14, Linha: 19, Coluna: 1
Tabela: 14, Linha: 19, Coluna: 2
Tabela: 14, Linha: 19, Coluna: 3
Tabela: 14, Linha: 19, Coluna: 4
Tabela: 14, Linha: 19, Coluna: 5
Tabela: 14, Linha: 19, Coluna: 6
Tabela: 14, Linha: 19, Coluna: 7
Tabela: 14, Linha: 19, Coluna: 8
Tabela: 14, Linha: 19, Coluna: 9
Tabela: 14, Linha: 20, Coluna: 0
Tabela: 14, Linha: 20, Coluna: 1
Tabela: 14, Linha: 20, Coluna: 2
Tabela: 14, Linha: 20, Coluna: 3
Tabela: 14, Linha: 20, Coluna: 4
Tabela: 14, Linha: 20, Coluna: 5
Tabela: 14, Linha: 20, Coluna: 6
Tabela: 14, Linha: 20, Coluna: 7
Tabela: 14, Linha: 20, Coluna: 8
Tabela: 14, Linha: 20, Coluna: 9
Tabela: 15, Linha: 1, Coluna: 0
Tabela: 15, Linha: 2, Coluna: 1
Tabela: 15, Linha: 3, Coluna: 0
Tabela: 15, Linha: 3, Coluna: 1
Tabela: 15, Linha: 3, Coluna: 2
Tabela: 15, Linha: 3, Coluna: 3
Tabela: 15, Linha: 4, Coluna: 0
Tabela: 15, Linha: 4, Coluna: 1
Tabela: 15, Linha: 4, Coluna: 2
Tabela: 15, Linha: 4, Coluna: 3
Tabela: 17, Linha: 0, Coluna: 0
Tabela: 17, Linha: 3, Coluna: 0
Tabela: 17, Linha: 3, Coluna: 1
Tabela: 17, Linha: 3, Coluna: 2
Tabela: 17, Linha: 3, Coluna: 3
Tabela: 17, Linha: 3, Coluna: 4
Tabela: 17, Linha: 3, Coluna: 5
Tabela: 17, Linha: 3, Coluna: 6
Tabela: 17, Linha: 3, Coluna: 7
Tabela: 17, Linha: 3, Coluna: 8
Tabela: 17, Linha: 4, Coluna: 0
Tabela: 17, Linha: 4, Coluna: 1
Tabela: 17, Linha: 4, Coluna: 2
Tabela: 17, Linha: 4, Coluna: 3
Tabela: 17, Linha: 4, Coluna: 4
Tabela: 17, Linha: 4, Coluna: 5
Tabela: 17, Linha: 4, Coluna: 6
Tabela: 17, Linha: 4, Coluna: 7
Tabela: 17, Linha: 4, Coluna: 8
Tabela: 17, Linha: 5, Coluna: 0
Tabela: 17, Linha: 5, Coluna: 1
Tabela: 17, Linha: 5, Coluna: 2
Tabela: 17, Linha: 5, Coluna: 3
Tabela: 17, Linha: 5, Coluna: 4
Tabela: 17, Linha: 5, Coluna: 5
Tabela: 17, Linha: 5, Coluna: 6
Tabela: 17, Linha: 5, Coluna: 7
Tabela: 17, Linha: 5, Coluna: 8
Tabela: 17, Linha: 6, Coluna: 0
Tabela: 17, Linha: 6, Coluna: 1
Tabela: 17, Linha: 6, Coluna: 2
Tabela: 17, Linha: 6, Coluna: 3
Tabela: 17, Linha: 6, Coluna: 4
Tabela: 17, Linha: 6, Coluna: 5
Tabela: 17, Linha: 6, Coluna: 6
Tabela: 17, Linha: 6, Coluna: 7
Tabela: 17, Linha: 6, Coluna: 8
Tabela: 18, Linha: 2, Coluna: 0
Tabela: 18, Linha: 2, Coluna: 1
Tabela: 18, Linha: 2, Coluna: 2
Tabela: 18, Linha: 3, Coluna: 0
Tabela: 18, Linha: 3, Coluna: 1
Tabela: 18, Linha: 3, Coluna: 2
