Tabela: <docx.table.Table object at 0x00000289DA513A10>, Linha: 2, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513A10>, Linha: 2, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513A10>, Linha: 2, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513A10>, Linha: 3, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513A10>, Linha: 3, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513A10>, Linha: 3, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513A10>, Linha: 3, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513A10>, Linha: 4, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513A10>, Linha: 4, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513A10>, Linha: 4, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513A10>, Linha: 4, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513920>, Linha: 0, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513920>, Linha: 0, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513920>, Linha: 0, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513920>, Linha: 0, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513920>, Linha: 1, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513920>, Linha: 1, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513920>, Linha: 1, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513920>, Linha: 1, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513920>, Linha: 2, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513920>, Linha: 2, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513920>, Linha: 2, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513920>, Linha: 2, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513920>, Linha: 3, Coluna: 0
Tabela: <docx.table.Table object at 0x00000289DA513920>, Linha: 3, Coluna: 1
Tabela: <docx.table.Table object at 0x00000289DA513920>, Linha: 3, Coluna: 2
Tabela: <docx.table.Table object at 0x00000289DA513920>, Linha: 3, Coluna: 3
Tabela: <docx.table.Table object at 0x00000289DA513920>, Linha: 4, Coluna: 0
